date,title,label
2021-11-03,카카오페이 오늘 상장 카카오패밀리 흥행 계보 이을까 카카오페이 역시 뜨거웠다 따상 은 못갔지만 카카오페이 한때 시총 13위 류영준 카카오페이 대표 전 국민 생활 금융 플랫폼으로 도약 카카오페이 역시 뜨거웠다 따상 은 못갔지만 카카오페이 한때 시총 13위 특징주 카카오페이 화려한 데뷔 와 함께 카카오뱅크 급락 카카오 브레이크 없는 인수합병 3개월간 계열사 14곳 신규편입 대기업 계열사 석달새 52개 증가 카카오 신규편입 14개로 최다 대기업집단 계열사 석달 새 52개 늘어 바짝 다가온 마이데이터 시대 핵심 전략 미리본다 단독 자영업자 돕는 줄 알았어요 중고사기 연루 여고생의 후회 카카오페이 오늘 상장 카카오패밀리 흥행 계보 이을까 카카오페이 역시 뜨거웠다 따상 은 못갔지만 카카오페이 한때 시총 13위 류영준 카카오페이 대표 전 국민 생활 금융 플랫폼으로 도약 카카오페이 역시 뜨거웠다 따상 은 못갔지만 카카오페이 한때 시총 13위 특징주 카카오페이 화려한 데뷔 와 함께 카카오뱅크 급락 카카오 브레이크 없는 인수합병 3개월간 계열사 14곳 신규편입 대기업 계열사 석달새 52개 증가 카카오 신규편입 14개로 최다 대기업집단 계열사 석달 새 52개 늘어 바짝 다가온 마이데이터 시대 핵심 전략 미리본다 단독 자영업자 돕는 줄 알았어요 중고사기 연루 여고생의 후회,4
2021-11-04,카카오페이 공모가 2배 넘어 카카오그룹 시총 116조원 재계 5위 카카오페이 코스피 성공적 데뷔 시총 13위 등극 카카오페이 시총 25조 KB금융 넘어 따상 은 못했어도 카카오페이 상장 첫날 선방 어 카카오페이 매도가 왜 안 되지 거래소 회선 또 말썽 카카오페이 상장 첫날 시총 13위 등극 따상 실패에도 KB금융 따돌렸다 카카오페이 세 번 도전 끝 코스피 안착 공모가 2배 웃돌아 공격 확장 하는 카카오페이 마이데이터 MTS 보험 사업에 대규모 투자 대세는 MTS MZ들 주식거래 판까지 뒤집었다 대형 공모주 상장 첫날 또 증권사 거래시스템 일시 먹통 시련의 계절 끝났나 카겜 카뱅 반등 시동 걸었다 대형 공모주 상장 첫날 또 증권사 거래시스템 일시 먹통 시련의 계절 끝났나 카겜 카뱅 반등 시동 걸었다 모빌리티 3파전 핀테크로 확전 다시 무너진 삼천피 신작 리니지W 오늘부터 글로벌 오픈 엔씨소프트 옛 명성 회복 사활 건 게임 골드만삭스 서울지점 인사 이석용 박지은 본부장 승진 실적의 힘 Z홀딩스 급등 라인과 시너지는 아직 카카오페이 상장 첫날 단숨에 시총 13위 금융주 2위 올라 하반기 IPO 최대어 카카오페이 코스피 성공적 데뷔 몸집 불린 카카오 카카오뱅크 카카오페이 카카오게임즈 한지붕 시총 전쟁 카카오페이 상장 첫날 공모가 2배 19만3000원 찍었다 카카오 3분기 역대 최대 실적 시장 전망치엔 못 미쳐 뱅크냐 페이냐 집안싸움 된 카카오금융 시총 경쟁 카카오그룹 단숨에 시총 넘버5 내년엔 몸집 더 불린다 카카오 최대 실적에도 표정관리 상생 또 상생 강조했다 카카오 3분기 역대 최대 실적 네이버도 넘어섰다 종합 카카오 또 또 최대실적 여민수 카카오T 이용자 3000만명 네이버 출신 김범수가 15년 만에 네이버를 제쳤다 종합 오형규 칼럼 미래 가불해 오늘만 살자는 건가 카카오페이 공모가 2배 넘어 카카오그룹 시총 116조원 재계 5위 카카오페이 코스피 성공적 데뷔 시총 13위 등극 카카오페이 시총 25조 KB금융 넘어 따상 은 못했어도 카카오페이 상장 첫날 선방 어 카카오페이 매도가 왜 안 되지 거래소 회선 또 말썽 카카오페이 상장 첫날 시총 13위 등극 따상 실패에도 KB금융 따돌렸다 카카오페이 세 번 도전 끝 코스피 안착 공모가 2배 웃돌아 공격 확장 하는 카카오페이 마이데이터 MTS 보험 사업에 대규모 투자 대세는 MTS MZ들 주식거래 판까지 뒤집었다 대형 공모주 상장 첫날 또 증권사 거래시스템 일시 먹통 시련의 계절 끝났나 카겜 카뱅 반등 시동 걸었다 대형 공모주 상장 첫날 또 증권사 거래시스템 일시 먹통 시련의 계절 끝났나 카겜 카뱅 반등 시동 걸었다 모빌리티 3파전 핀테크로 확전 다시 무너진 삼천피 신작 리니지W 오늘부터 글로벌 오픈 엔씨소프트 옛 명성 회복 사활 건 게임 골드만삭스 서울지점 인사 이석용 박지은 본부장 승진 실적의 힘 Z홀딩스 급등 라인과 시너지는 아직 카카오페이 상장 첫날 단숨에 시총 13위 금융주 2위 올라 하반기 IPO 최대어 카카오페이 코스피 성공적 데뷔 몸집 불린 카카오 카카오뱅크 카카오페이 카카오게임즈 한지붕 시총 전쟁 카카오페이 상장 첫날 공모가 2배 19만3000원 찍었다 카카오 3분기 역대 최대 실적 시장 전망치엔 못 미쳐 뱅크냐 페이냐 집안싸움 된 카카오금융 시총 경쟁 카카오그룹 단숨에 시총 넘버5 내년엔 몸집 더 불린다 카카오 최대 실적에도 표정관리 상생 또 상생 강조했다 카카오 3분기 역대 최대 실적 네이버도 넘어섰다 종합 카카오 또 또 최대실적,0
2021-11-05,상장 이틀째 카카오페이 12%대 하락 시총 18위로 털썩 콘텐츠 날개 단 카카오 네이버도 제쳤다 카카오페이 상장 이틀만에 주르륵 오버행 우려 현실로 카카오페이 상장 둘째날 급락 카카오 처음으로 네이버 제쳤다 플랫폼 규제 딛고 네이버 제친 카카오 게임 웹툰 고공행진 전방위 대출규제 불똥 수입 쪼그라든 핀테크 카카오그룹 엇갈린 시총 희비 카카오 자산 시가총액 이어 매출도 네이버 제쳤다 3분기 135억 더 팔았다 카카오 네이버 첫 추월 디어유 지오엘리먼트 다음주 알짜 새내기 기대되네 상장 이틀째 카카오페이 12%대 하락 시총 18위로 털썩 콘텐츠 날개 단 카카오 네이버도 제쳤다 카카오페이 상장 이틀만에 주르륵 오버행 우려 현실로 카카오페이 상장 둘째날 급락 카카오 처음으로 네이버 제쳤다 플랫폼 규제 딛고 네이버 제친 카카오 게임 웹툰 고공행진 전방위 대출규제 불똥 수입 쪼그라든 핀테크 카카오그룹 엇갈린 시총 희비 카카오 자산 시가총액 이어 매출도 네이버 제쳤다 3분기 135억 더 팔았다 카카오 네이버 첫 추월 디어유 지오엘리먼트 다음주 알짜 새내기 기대되네,2
2021-11-08,S머니 은행 1% 후반대 예금 속속 등장 저축 은 2%대 상품 다양 오픈뱅킹 불참 카카오페이증권 사용자 불편 가중 카카오페이에 대형 금융지주도 참전 손해보험 지각판 출렁 분위기 달라졌다 카카오에 다시 찬사 보내는 증권가 이유는 두달새 조 판 연기금 콘텐츠 는 담았다 IPO 증시 호황에 IB 수익률도 쑥쑥 NH 한투 이어 삼성도 영업익 1조 디카르고 유통량 조작설 논란에 시세 폭락 업비트 소명하라 엔씨 리니지W 사흘만에 매출 1위 기염 단독 자산가 대출도 틀어막는다 금융당국 금소법 엄격 적용 은행 플랫폼 경쟁 본격화하나 당국 규제완화 예고 카드론 규제에 수수료 인하 내년 영업이익 3분의 1 감소 카드론 규제에 수수료 인하 내년 영업이익 3분의 1 감소 마윈 카카오페이 상장 날 8조원 벌었다 인도서 대박 기자수첩 시장 우려 날려버린 카카오페이의 힘 플랫폼 양극화에 IPO 불패신화 흔들 당정 카드 수수료 인하 추진에 카드 노조 실적 악화 반발 금융사 히트상품 금융권 고객잡기 아이디어 비대면 간편함에 꽂혔다 S머니 은행 1% 후반대 예금 속속 등장 저축 은 2%대 상품 다양 오픈뱅킹 불참 카카오페이증권 사용자 불편 가중 카카오페이에 대형 금융지주도 참전 손해보험 지각판 출렁 분위기 달라졌다 카카오에 다시 찬사 보내는 증권가 이유는 두달새 조 판 연기금 콘텐츠 는 담았다 IPO 증시 호황에 IB 수익률도 쑥쑥,0
2021-11-09,잘 나가던 카카오 고밸류 선거 벽 부딪혔나 더 쉽게 더 빠르게 7천조원 시장 놓고 세계는 페이전쟁 줄줄이 상장철회 옥석가리기 본격화 LG엔솔부터 현대엔지까지 내년 수조원대 상장 예고 물량 앞에 장사없다 증시 나는데 코스피 내리막 카카오페이 주가 % 급락 시총 금융주 3위로 밀려 보호예수 잠금장치 풀리자 카카오뱅크 주가 급락 유동성 봄날 끝 IPO 잔치도 끝났다 기울어진 운동장 놓인 카드사 수수료율 0%인데 더 내린다고 빅테크 틈새 보험사 보장분석 강화 연말 짠테크족 잡아라 저축은행 금리 릴레이 인상 잘 나가던 카카오 고밸류 선거 벽 부딪혔나 더 쉽게 더 빠르게 7천조원 시장 놓고 세계는 페이전쟁 줄줄이 상장철회 옥석가리기 본격화 LG엔솔부터 현대엔지까지 내년 수조원대 상장 예고 물량 앞에 장사없다 증시 나는데 코스피 내리막 카카오페이 주가 % 급락 시총 금융주 3위로 밀려 보호예수 잠금장치 풀리자 카카오뱅크 주가 급락 유동성 봄날 끝 IPO 잔치도 끝났다 기울어진 운동장 놓인 카드사 수수료율 0%인데 더 내린다고 빅테크 틈새 보험사 보장분석 강화 연말 짠테크족 잡아라 저축은행 금리 릴레이 인상,0
2021-11-10,단독 서울사랑상품권 운영사업자 공모 카카오 네이버 등 군침 엔터주 테마탄 디어유 오늘 상장 따상 가나 단독 서울사랑상품권 운영사업자 공모 카카오 네이버 등 군침 엔터주 테마탄 디어유 오늘 상장 따상 가나,4
2021-11-11,카카오페이 거래액 매출 3분기만에 작년 넘어 비용 증가에 적자 카카오페이 3분기 거래액 매출 쑥 카카오페이 3분기 누적 거래액 72조원 돌파 54% 증가 카카오페이 3분기 매출액 1149억 전년 48% 증가 누적 3312억 HMM 영업익 조 분기 최대 셀트리온 악몽의 성적표 오리온 제품 가격 동결에도 호실적 3주 앞둔 마이데이터 빨간불 단독 카카오페이 알리페이 지분 늑장신고 상장시 제출 거짓 해명 카카오페이 3분기 매출 1149억 2020년 동기 대비 48% 증가 상장 후 첫 성적표 카카오금융 페이는 적자 뱅크는 최대 순익 공모주 열풍 타고 올해 새내기주 수익률도 양호 카카오페이 거래액 매출 3분기만에 작년 넘어 비용 증가에 적자 카카오페이 3분기 거래액 매출 쑥 카카오페이 3분기 누적 거래액 72조원 돌파 54% 증가 카카오페이 3분기 매출액 1149억 전년 48% 증가 누적 3312억 HMM 영업익 조 분기 최대 셀트리온 악몽의 성적표 오리온 제품 가격 동결에도 호실적 3주 앞둔 마이데이터 빨간불 단독 카카오페이 알리페이 지분 늑장신고 상장시 제출 거짓 해명 카카오페이 3분기 매출 1149억 2020년 동기 대비 48% 증가 상장 후 첫 성적표 카카오금융 페이는 적자 뱅크는 최대 순익 공모주 열풍 타고 올해 새내기주 수익률도 양호,0
2021-11-12,상장 후 첫 실적이 적자 또 주저앉은 카카오페이 Bull Bear 신작기대에 NHN 한달새 41% 올라 상장 전 유보금 나눠먹기 땐 제동 과도한 대주주 사익추구 걸러낸다 빅데이터로 본 재테크 위메이드 하이브 주가 껑충 게임 콘텐츠 ETF도 씽씽 상장 후 첫 실적이 적자 또 주저앉은 카카오페이 Bull Bear 신작기대에 NHN 한달새 41% 올라 상장 전 유보금 나눠먹기 땐 제동 과도한 대주주 사익추구 걸러낸다 빅데이터로 본 재테크 위메이드 하이브 주가 껑충 게임 콘텐츠 ETF도 씽씽,4
2021-11-15,아마존 구글 주식 카카오페이로 1000원어치부터 산다 인터넷쇼핑몰서 주식 상품권 구매 가능 해외주식 소수점 매매 이달 시작 소문난 잔치 공모주 아직 먹을 것 있다 대출 늘고 금리 올라 역대급 실적 4대 금융지주 날갯짓 류영준 카카오페이 대표 우여곡절 끝 코스피 상장 금융 플랫폼으로 입지 다질것 인터뷰 따상 주춤에도 올해 IPO 공모액 20조 돌파 내년 출격하는 대어급은 IPO 공모액 20조 넘었다 역대급 대어 쏟아진 올해 IPO 공모액 20조원 넘었다 끝날 때까지 끝나지 않은 올해 IPO 내년에도 계속 NFT 메타버스 열풍에 외국인 기관 몰리는 게임주 핀테크 육성엔 동의하지만 동일규제 원칙 소비자 보호 위해 필요 NFT로 난리난 K 게임 게임 잘하면 돈도 번다는데 진짜로 신용카드처럼 네이버 쿠팡페이도 규제할까 SK바사 카뱅 등 대어급 많았다 올해 IPO 공모액 20조원 돌파 해외주식 소수점 거래 20곳서 이르면 이달중 서비스 %라도 낮은금리 찾아라 이젠 선택 아닌 필수 금융 플러스 진화하는 대출비교플랫폼 상생소비지원금 지급시작 간편결제 통한 대형마트 결제액 다음달 뱉어내야 상생소비지원금 지급시작 간편결제 통한 대형마트 결제액 다음달 뱉어내야 약속의 11월 외국인 돌아올까 올해 IPO 공모액 20조 넘어 9월후 따상 은 2곳뿐 가이드라인 개정만 7번 금융권 내년 1월 마이데이터 서비스 버겁다 아마존 구글 주식 카카오페이로 1000원어치부터 산다 인터넷쇼핑몰서 주식 상품권 구매 가능 해외주식 소수점 매매 이달 시작 소문난 잔치 공모주 아직 먹을 것 있다 대출 늘고 금리 올라 역대급 실적 4대 금융지주 날갯짓 류영준 카카오페이 대표 우여곡절 끝 코스피 상장 금융 플랫폼으로 입지 다질것 인터뷰 따상 주춤에도 올해 IPO 공모액 20조 돌파 내년 출격하는 대어급은 IPO 공모액 20조 넘었다 역대급 대어 쏟아진 올해 IPO 공모액 20조원 넘었다 끝날 때까지 끝나지 않은 올해 IPO 내년에도 계속 NFT 메타버스 열풍에 외국인 기관 몰리는 게임주 핀테크 육성엔 동의하지만 동일규제 원칙 소비자 보호 위해 필요 NFT로 난리난 K 게임 게임 잘하면 돈도 번다는데 진짜로 신용카드처럼 네이버 쿠팡페이도 규제할까 SK바사 카뱅 등 대어급 많았다 올해 IPO 공모액 20조원 돌파 해외주식 소수점 거래 20곳서 이르면 이달중 서비스 %라도 낮은금리 찾아라 이젠 선택 아닌 필수 금융 플러스 진화하는 대출비교플랫폼 상생소비지원금 지급시작 간편결제 통한 대형마트 결제액 다음달 뱉어내야 상생소비지원금 지급시작 간편결제 통한 대형마트 결제액 다음달 뱉어내야 약속의 11월 외국인 돌아올까 올해 IPO 공모액 20조 넘어 9월후 따상 은 2곳뿐 가이드라인 개정만 7번 금융권 내년 1월 마이데이터 서비스 버겁다,4
2021-11-16,정보보호 허술 네이버파이낸셜 금감원 조사서 첫 제재 대출금리 개입 어렵다면서 카드 수수료는 통제하는 정부 캐시백 10만원 받을줄 알았는데 통장보고 깜짝 놀랐다 카드 노조 빅테크 배만 불리는 적격비용 재산정 폐지하라 외인 기관 반도체 개인은 바이오 배터리 담았다 카드 노조 빅테크 배만 불리는 적격비용 재산정 폐지하라 해외주식 소수점 거래 본격화 외인 기관 반도체 개인은 바이오 배터리 담았다 상생소비지원금 10월분 캐시백 어제 지급 급증한 유상증자 역대급 IPO 주식 공급 쌓이네 수급 불안한 증시 이르면 이달 테슬라도 1만원어치 거래 가능 내달 마이데이터 시범시행 미성년자에도 문 열린다 알림 제13회 스마트금융콘퍼런스 마이데이터 모든 정보 한자리에 정보보호 허술 네이버파이낸셜 금감원 조사서 첫 제재 대출금리 개입 어렵다면서 카드 수수료는 통제하는 정부 캐시백 10만원 받을줄 알았는데 통장보고 깜짝 놀랐다 카드 노조 빅테크 배만 불리는 적격비용 재산정 폐지하라 외인 기관 반도체 개인은 바이오 배터리 담았다 카드 노조 빅테크 배만 불리는 적격비용 재산정 폐지하라 해외주식 소수점 거래 본격화 외인 기관 반도체 개인은 바이오 배터리 담았다 상생소비지원금 10월분 캐시백 어제 지급 급증한 유상증자 역대급 IPO 주식 공급 쌓이네 수급 불안한 증시 이르면 이달 테슬라도 1만원어치 거래 가능 내달 마이데이터 시범시행 미성년자에도 문 열린다 알림 제13회 스마트금융콘퍼런스 마이데이터 모든 정보 한자리에,4
