company,date,title,rise
삼성SDS,2018-02-01,간추린 뉴스 단신 삼성 디지털 트랜스포메이션 리더 선포,2.0
삼성SDS,2018-02-05,삼성 작년 영업익 억 역대 최고,2.0
삼성SDS,2018-02-02,삼성 분기 실적 호조 매출 조 영업익 억원,0.0
삼성SDS,2018-02-06,삼성 영업익 억 % 늘어,0.0
삼성SDS,2018-02-07,열린세상 무엇에 쓰는 물건인고 유효상 차의과학대 경영대학원장,2.0
삼성SDS,2018-02-08,이재용 항소심 일 선고 승계작업 필요했나 삼성 특검 엇갈린 주장,2.0
삼성SDS,2018-02-09,주간증시전망 선 중립수준 흐름 수혜주 찾기 분주,0.0
삼성SDS,2018-02-12,주간증시전망 평창동계올림픽 이슈에 주목하라,2.0
삼성SDS,2018-02-13,급반등한 삼성그룹주,4.0
삼성SDS,2018-02-14,될성부른 장외주식 사다리역 톡톡 상장 후 대어 변신,2.0
삼성SDS,2018-02-19,삼성 춘천 데이터센터 착공,2.0
삼성SDS,2018-02-20,삼성 축구장 배 데이터센터 짓는다,0.0
삼성SDS,2018-02-21,삼성 춘천에 차세대 데이터센터,2.0
삼성SDS,2018-02-23,삼성 춘천에 데이터센터,4.0
삼성SDS,2018-02-26,삼성 춘천에 축구장 배 데이터센터,2.0
삼성SDS,2018-02-27,삼성 춘천 데이터센터 기공식 클라우드 사업 강화,2.0
삼성SDS,2018-03-02,시동 걸린 삼성 주주 사회적 책임 미래로 향한다,2.0
삼성SDS,2018-03-07,은행권 공동으로 신입직원 채용 매뉴얼 만든다,2.0
삼성SDS,2018-03-06,이코노 브리핑 경기장 내 현금 비자카드 결제만 가능,4.0
삼성SDS,2018-03-08,강력한 보안성 지닌 블록체인 글로벌 기업들 물류관리 등에 도입 나서,4.0
삼성SDS,2018-03-09,내달까지 변동장세 분할매수 대응을,2.0
삼성SDS,2018-03-12,급락장 투자손실 기관이 개미보다 더 아팠다,4.0
삼성SDS,2018-03-13,삼성 사내벤처로 사업 금맥,2.0
삼성SDS,2018-03-14,조 실적잔치 게임 포털 스몸비 는 나몰라라,2.0
삼성SDS,2018-03-19,외풍에도 잘 견디는 실적 우등생 찾아라,0.0
삼성SDS,2018-03-20,삼성 대 사장 시대,4.0
삼성SDS,2018-03-21,실속 베팅 하이닉스 삼성 집중 매수,2.0
