Unnamed: 0,company,date,time,title,content
0,삼성SDS,2022.01.02,12:02:10,"재정업무 혁신 '차세대 디브레인', 3일 개통","7890개 사회경제지표 연계…실시간 분석으로 정책 결정 지원
ⓒ게티이미지뱅크

정부가 재정 업무 시스템을 전면 혁신하기 위해 개발해온 차세대 예산회계시스템(d-Brain, 디브레인)이 공식 개통된다.

기획재정부는 오는 3일 차세대 디브레인이 경제·사회지표를 연계해 정책 결정 효과를 제고하는 AI 기반 플랫폼으로 거듭난다고 밝혔다.

차세대 디브레인 사업을 통해 정부는 2007년부터 운용된 기존 디브레인 재정 관련 업무 처리 시스템을 전면 재구축했다. 기재부는 2019년 7월 차세대 예산회계시스템 구축 추진단을 출범했고 9월 용역사업을 발주, 12월 삼성SDS 컨소시엄을 사업자로 선정했다. 사업 기간은 오는 3월까지이며 총사업비는 1561억원 규모다.

차세대 디브레인은 기재부가 다른 행정부처 데이터를 재정운용에 연계하고 활용할 수 있도록 구축됐다. 정부 의사 결정을 지원할 수 있는 데이터 기반 정책결정 지원 시스템으로 변화하는 것이다.

정부가 데이터 기반 정책결정을 위해 차세대 디브레인에 추가한 전략적 요소는 데이터와 연계(Networking), 인공지능(AI)이다.

데이터 경우 차세대 디브레인을 통해 연계되는 지표는 7890개에 달한다. 기존 디브레인에서 분석했던 예산과 결산 데이터 등 2441개 중앙 재정지표에 지방 재정, 교육, 관광, 환경 등 외부 지표 5449개가 추가된다. 예를 들어 지역 민생 관련 지표에는 지역내총생산(GRDP)과 같은 통계와 더불어 주택가격지수, 상가공실률, 미세먼지 지표 등도 포함된다.

기재부는 차세대 디브레인을 통해 각종 경제 및 사회지표들과 재정 데이터를 연계하면 정책 결정 효과를 높일 수 있을 것으로 기대했다. 연계된 지표들은 실시간 점검에 따라 필요한 경우 자동 경고 신호를 보낼 수 있다.

이를 위해 '데이터 기반 정책상황 관리시스템(KORAHS:코라스)'과 'AI 기반 데이터 분석 플랫폼(KODAS:코다스)'을 마련했다.

코라스의 역할은 위험진단과 미래예측이다. 윤정식 차세대 예산회계시스템 구축 추진단장은 “지금은 각 부처가 정책상황을 점검해 대응하지만 코라스 기능이 개통되면 점검이 필요한 지표들이 자동 보고되고 위험요인에 선제적인 조치를 취할 수 있다”고 설명했다.

코다스는 차세대 디브레인을 실무에 활용할 공무원들을 위해 개발했다. 코다스를 위해 807개의 다른 시스템과 연계한 데이터 플랫폼이 구축됐다. 재정데이터와 통계청 등 사회지표, 각 부처의 행정지표는 물론 필요한 경우 민간 데이터도 활용 가능하다.

현재 디브레인도 모든 공무원이 쓸 수 있지만 재정업무 처리가 중심이라 관련 업무를 하는 6만여명만 사용해왔다. 차세대 디브레인은 데이터를 분석할 수 있는 인프라를 적용해 중앙부처 공무원 누구나 KODAS로 데이터를 분석하고 정책 결정에 활용할 수 있게 된다.

차세대 디브레인에서는 국가부채 통계 시스템도 개선된다. 현재 매달 발표하는 중앙정부 채무(D1)과 달리 일반정부 부채(D2)와 공공부문 부채(D3)는 수기로 취합해 1년에 한번 공개되고 있다. 올해 결산부터는 D2와 D3 실적을 디브레인에서 자동 집계하는 방식으로 바꿀 계획이다.

정부는 3일 공식 개통 이후 안정화 작업을 거친다. 2년 간의 개발 완료와 공식 개통을 선포하는 기념식은 12일로 예정됐다."
1,삼성SDS,2022.01.03,15:15:06,"[IT업계의 새해 각오와 숙제] ""임인년은 대전환의 해""… 클라우드·AI·인재육성 한 목소리","삼성SDS·LG CNS ""디지털 혁신""

SK C&C, 인더스트리 사업 강화

포스코ICT ""스마트팩토리 발전""

롯데정보통신 '양손잡이 인재론'

정덕균(왼쪽 두번째) 포스코ICT 대표가 3일 아침 출근하는 직원들에게 덕담과 함께 복떡을 건네고 있다. <포스코ICT 제공>
'2022년은 사업 대전환의 해'

임인년 새해를 맞은 B2B(기업간 거래) IT업계가 '변화'를 키워드로 삼고 사업모델과 체질 개편에 박차를 가한다. 코로나19 충격과 클라우드 확산, 주52일 근무제로 가속화되는 IT산업의 변화에 앞서가기 위해서다. 코로나 상황이 이어지는 가운데 대부분의 기업이 별도 행사 없이 조용하게 새해를 시작했다.

삼성SDS와 LG CNS는 3일 별도의 시무식이나 신년사 없이 신년 첫날을 맞았다. 두 회사의 공통 화두는 클라우드와 디지털 혁신 플랫폼 서비스 강화다. 삼성SDS는 하이브리드 클라우드와 보안기술을 통해 엔터프라이즈급 기업들의 클라우드 도입을 지원한다는 전략이다. 또 AI, 데이터 분석, 블록체인 등이 결합된 'DTaaS(서비스형 DT)'를 키워드로 솔루션 사업 키우기에 집중한다. 사물인터넷, AI 등을 접목해 디지털 물류사업을 확대하는 한편 국내·외를 가리지 않고 기술인력 확보도 추진한다.

LG CNS는 클라우드, 스마트물류, 금융IT 등 지난해 실적을 견인한 사업을 중심으로 DX(디지털전환) 사업을 강화한다는 전략이다. 30여년 IT서비스 사업경험과 기업 애플리케이션에 대한 이해를 바탕으로 엔터프라이즈 클라우드 시장을 주도한다는 계획이다. 글로벌 클라우드 기업들과 공조해 '퍼블릭 클라우드 퍼스트' 전략을 펼치는 한편 클라우드 기반의 AIaaS(서비스형 AI) 사업도 확대한다.

박성하 SK㈜ C&C 대표는 신년 메시지를 통해 비즈니스 모델 전환의 가시적 성과 창출로 파이낸셜 스토리의 성공적 실행에 대한 대내·외 신뢰를 강화하겠다고 밝혔다. 회사가 보유한 디지털 애셋 기반 사업을 확대하고, 디지털 통합 플랫폼과 클라우드 사업, 인더스트리 솔루션의 경쟁력을 높이는 데 집중한다는 전략이다. ESG(환경·사회·지배구조) 경영 수준도 업그레이드해 나간다.

박 대표는 ""RE100·넷제로를 위해 기존 비즈니스 모델을 바꾸고 있는 고객들의 변화를 리딩하기 위해 전 구성원이 ESG를 내재화해 나갈 것""이라고 말했다.

인재 확보와 육성 의지도 강조했다. 부문별 특화 육성 프로그램을 운영하고, 디지털 애셋별 프로덕트 전문가를 육성하는 한편 직무 중심 인사관리 제도도 보완해 가겠다고 밝혔다.

정덕균 포스코ICT 대표는 출근하는 직원들에게 복떡과 덕담을 건네며 한 해를 시작했다. 정 대표는 지난해 취임 후 저수익 사업 정리와 사업 포트폴리오 조정을 해 왔다. 정 대표는 최근 임직원들에게 보낸 메시지를 통해 전략사업인 스마트팩토리를 진화·발전시켜 제철소에서 그룹사와 대외로 확산하고, 미래 성장사업인 스마트물류, 환경·안전, 로봇 분야에서 가시적인 성공모델을 만들겠다고 밝혔다.

노준형 롯데정보통신 대표는 고객의 사업과 기술을 모두 이해하는 '양손잡이 인재'와 창의적인 조직문화의 중요성을 강조하고, 디지털 전환 기반의 기술 리더십 강화에 집중하겠다고 강조했다.

노 대표는 ""CES 2022에 참가해 미래 신성장동력으로 추진 중인 메타버스, 전기차 충전 사업, 모빌리티 관련 기술력을 전 세계에 알리겠다""면서 ""그동안 쌓아온 펀더멘탈을 기반으로 국내 톱티어 기업이자 글로벌 기업으로 도약하기 위해 경쟁력을 키워 가겠다""고 밝혔다.

서정식 현대오토에버 대표는 이메일 신년사를 통해 SW(소프트웨어) 경쟁력과 품질 강화, 우수 인재 확보에 집중하겠다고 밝혔다.

서 대표는 ""자동차 산업의 패러다임 변화 속에 SW가 핵심 경쟁요소로 부각됐다""면서 ""우리의 성장이 그룹의 신규 비즈니스 성공 여부를 가늠하는 기준이 된다고 해도 과언이 아니다""라고 강조했다.

서 대표는 품질경쟁력 강화를 키워드로 △차량전장SW '모빌진'의 전 도메인 적용·확대 △표준화된 SW 통합개발환경 그룹 확산 △자율주행 정밀지도 양산 △스마트팩토리 제조 플랫폼 개발 △그룹 차세대 ERP(전사적자원관리)·CRM(고객관계관리) 구축 △AI·빅데이터 플랫폼과 클라우드 구독형 사업 추진 △우수 인재 확보·육성에 집중하겠다고 밝혔다.

CJ올리브네트웍스는 공공사업 등 대외 사업 비중을 확대하고, 클라우드 및 데이터 기반 신사업 확장에 집중한다는 전략이다. 메타버스, NFT(대체불가토큰), ESG 등 유망 신사업도 지속적으로 발굴한다는 계획이다. 강진모 아이티센그룹 회장은 2022년을 그룹 재도약의 해로 만들기 위해 사업모델 혁신에 집중하겠다고 밝혔다.

강 회장은 ""혁신 '클라우드 인에이블러'로 고객의 디지털 전환을 지원하겠다""면서 ""그룹 클라우드 역량을 모은 클라우드 전문 법인을 신설해 클라우드 네이티브, MSP(클라우드 관리서비스), SaaS(SW서비스)를 포괄하는 전문기업으로 자리매김시키겠다""고 말했다. 이어 ""전자정부 사업의 도메인 지식을 활용해 SaaS 모델을 개발하고, 대형 신규 고객 확보와 글로벌화에 집중하겠다""고 강조했다. 기술지원을 전담하는 CTO(최고기술책임자)를 두고 관련 조직을 확대하는 등 기술인력도 육성하겠다고 밝혔다."
2,삼성SDS,2022.01.04,18:24:09,신황규 NPX테라아크 CTO 선임,"글로벌 투자회사이자 대체투자 플랫폼인 NPX그룹은 산하 NPX 테라아크의 신임 최고기술책임자(CTO) 겸 최고제품책임자(CPO)로 신황규 전 삼성SDS ACT 그룹장(사진)을 선임했다고 4일 밝혔다.

신황규 CTO 겸 CPO는 삼성SDS에서 최연소 그룹장을 지냈다. 3년 연속 '삼성SDS인상'을 수상한 기술 및 제품 개발 전문가다."
3,삼성SDS,2022.01.04,19:09:02,‘BPA 로테르담 물류센터’ 부산항 글로벌 경쟁력 높이기 시동,"건립 공사 완료… 3일 본격 운영
국내 기업에 안정적 플랫폼 제공
부산항만공사는 3일부터 네덜란드 로테르담 물류센터의 본격적인 운영에 들어갔다. 물류센터 전경. 부산항만공사 제공


글로벌 물류 네트워크 확대로 부산항의 항만 경쟁력을 강화할 수 있는 첫 해외 물류 인프라가 구축됐다.

부산항만공사(BPA)는 유럽의 관문항인 네덜란드 로테르담항 배후지역에서 추진한 물류센터 건립공사를 성공적으로 완료하고 3일부터 본격적인 운영을 시작했다. 이로써 BPA는 유럽에 진출하는 국내 기업에게 장기적이고 안정적인 물류 플랫폼을 제공함과 동시에 로테르담항과의 물류 네트워크 확대로 부산항의 글로벌 항만 경쟁력을 강화하는 기반을 마련하게 됐다.

지난해 1월 말 공사에 착수한 로테르담 물류센터는 유럽 내 코로나 확산세와 물류대란으로 인한 철강비용 급증 등 자재 수급의 어려움 속에서도 공사비 증가 및 건설기간 연장 없이 당초 일정에 맞춰 현지 준공 검사 등을 원활히 마쳤다. BPA는 3만 ㎡에 달하는 물류센터 운영 전반에 대한 사전 점검을 위해 지난해 12월 중순부터 부산항을 출발해 로테르담항으로 들어온 화물에 대한 시범 운영을 실시하는 등 안정적인 운영 개시를 준비해왔다.

‘BPA 로테르담 물류센터’는 센터 내에 보세구역을 운영, 제공하고 있는데, 이는 최근 물류대란으로 인한 기업별 안전 재고관리의 중요성이 대두되면서 물류센터를 이용하는 기업들은 실제 물건의 최종 판매가 이뤄지기 전까지 보세구역에 화물을 보관함으로써 재고관리를 보다 효율적으로 할 수 있게 될 전망이다.

또 물류센터 운영을 담당하는 삼성SDS가 화주용 ‘첼로 포털 시스템’을 제공해 이용기업들의 실시간 재고 조회 및 확인이 가능하며 외곽펜스, CCTV 등 국제보안전문협회 기준에 맞는 보안 설비를 구축해 고객 화물·정보 보호의 신뢰성도 제공한다. 특히 BPA는 500㎡의 면적에 달하는 3개 층 사무동을 구비해 유럽 시장에 신규 진출하고자 하는 국내 중소·중견기업 대상 공유 사무실도 무상으로 제공하고, 유럽진출 애로사항 해결 및 요청에 즉각 대응해 물류센터 이용 고객들에 대한 신뢰를 구축해 나갈 계획이다."
4,삼성SDS,2022.01.04,03:05:30,국내 첫 해상운송주선업 면허 획득 ‘포워딩업 선구자’,"[강소기업이 미래다]
㈜일양익스프레스
최초로 해상운송주선업 면허를 취득한 국제운송주선업 ‘일양익스프레스’ 회사 전경.
배상현 대표
일양익스프레스는 1976년 최초로 해상운송주선업 면허를 취득한 국제운송주선업(항공 및 해운운송) 기업으로 잘 알려져 있다. 국내에 포워딩업을 도입해 발전시킨 개척자 역할을 수행했고, 1977년에는 DHL과 한국총대리점 계약을 맺어 24년간 국제항공특송업을 영위했다.

2015년 중국 파트너와 합작 투자해 부산신항배후물류단지(웅동지구)에 일양글로벌물류 창고법인을 설립해 해상수출입 컨테이너 작업과 화물보관 서비스를 제공하는 등 본사와 자회사 간 물류시너지를 극대화하고 있다. 또 해외진출 사업전략의 일환으로 2017년 미국 LA 롱비치항 인근에 일양익스프레스 USA를 신설해 항공·해상수출입화물 운송과 3PL사업을 추진하고 있는 등 향후 본격적인 미주시장 진출 계획도 갖추고 있다.

2019년에는 중국 파트너와 공동으로 중국 옌청에 두 번째 해외법인인 강소일양첩열국제물류유한회사를 설립하고, 이어 상하이사무소를 개설해 복합운송주선업, 통관 및 내륙운송사업을 추진하고 있다. 중국 최대 수출입 관문인 상하이에서의 사업이 안정화되면 톈진, 다롄, 충칭 등으로 사업을 확장한다는 청사진을 가지고 있다.

신종 코로나바이러스 감염증(코로나19) 영향 속에서도 자동차운반선인 RO-RO(Roll on/Roll off)선에 일반컨테이너화물을 적재 및 운송해 물류대란의 총체적 위기를 기회로 전환했다는 평가를 받는다. 국내 중소, 중견기업들의 물류비용 부담을 덜어주기 위해 산업통상자원부, 중소벤처기업부 주관의 물류 바우처 사업의 대표 물류업체로 선정됐고, 물류비의 급상승으로 어려움을 겪고 있는 중소 수출기업들에 정부로부터 지원을 받을 수 있도록 기회를 제공하는 등 다양한 방식으로 코로나19 위기를 극복해 나가고 있다.

내부 혁신전략으로 그간 항공화물작업은 외주업체에 위탁해왔으나 최근 이 기능을 내재화해 수출화물 항공사 반입, 수입화물 보관 및 반출을 인천공항화물터미널에서 직접 수행함으로써 고객에게 유연한 서비스를 제공하고 있다.

한편 반복되는 상시물류 업무유형을 분석하고 RPA(Robotic Process Automation)를 도입해 업무 생산성을 30% 정도 높였다. 영업사원들의 성취감을 고취하기 위해 월 인센티브 제도를 운영하고 있으며 의료비 지원, 교육 지원, 건강검진 지원 등 다양한 복지프로그램을 개발, 운영하고 있다.

삼성SDS 출신으로 올해 일양익스프레스에 취임한 배상현 대표는 올해 시무식에서 “보다 나은 서비스 품질 향상을 위하여 초심으로 돌아가자는 의미에서 ‘Back to the Basics’ 을 경영 키워드로 제시한다”고 밝혔다. 이어 “고객만족은 영업과 업무부서 모두가 합심해서 달성하는 영역이고 서로가 배려할 때 대한민국 대표 종합물류기업이라는 비전도 실현할 수 있다”고 강조했다."
5,삼성SDS,2022.01.05,15:03:01,"인성정보, 전략사업추진실 신설 … 손영삼 부사장 영입","손영삼 인성정보 부사장(왼쪽), 원종윤 인성정보 대표

인성정보가 삼성SDS 출신 손영삼 부사장을 영입하고 전략사업추진실을 신설하는 인사와 조직개편을 단행했다.

인성정보는 사업조직을 △제조, SME, 엔터프라이즈, 금융·공공사업 등 시장 중심 ICT인프라사업부문 △델 테크놀로지, HPE 아루바 등 벤더 솔루션 중심 솔루션비즈니스부문 등 2개로 개편했다.

이와 동시에 △전략사업추진실 △클라우드사업추진단 △헬스케어사업추진실 등을 신설했다.

ICT인프라사업부문과 전략사업추진실은 손영삼 부사장이 맡는다. 손 부사장은 삼성SDS·미라콤아이앤씨에서 IT아웃소싱(ITO) 사업부를 이끌고 신사업을 기획했다.

원종윤 인성정보 대표는 새로운 성장동력 확보에 주력한다. 헬스케어사업추진실을 통해 원격 헬스케어 및 보건복지, 공공의료 관련 신규사업 발굴을 본격화할 예정이다. 또한 클라우드사업추진단을 통해서는 공공클라우드 중심의 인프라 및 솔루션 사업에도 진입할 계획이다.

원 대표는 “조직 개편은 인성정보의 다음 30년을 위한 발판을 마련하는 것”이라며 “헬스케어, 클라우드 등 새로운 성장동력을 발굴하고 신규사업을 적극 추진함으로써 인성정보의 성장을 도모할 것”이라고 말했다."
6,삼성SDS,2022.01.05,11:07:06,"창업 30주년 인성정보, 미래사업 중심 대규모 조직개편","원종윤(오른쪽) 인성정보 대표와 손영삼 부사장. 인성정보 제공
인성정보가 5일 대규모 조직개편과 인사를 단행했다. 올해 창립 30주년을 맞아, 급격한 사업환경 변화에 신속·유연하게 대응하고, 새로운 30년을 위한 청사진을 구체화하겠다는 계획이다.

회사는 사업조직을 제조, SME, 엔터프라이즈, 금융·공공사업 등 시장 중심의 ICT인프라사업부문과, 델테크놀로지스, HPE 아루바 등 벤더 솔루션 중심의 솔루션비즈니스부문 2개로 개편했다. 여기에 전략사업추진실·클라우드사업추진단·헬스케어사업추진실 등 신규 조직을 만들었다.

ICT인프라사업부문과 전략사업추진실은 인성정보에 새로 합류한 손영삼 부사장이 맡는다. 손 부사장은 삼성SDS 및 미라콤아이앤씨에서 IT아웃소싱사업부를 이끈 전문가다. ICT인프라사업부문 산하 6개 사업부 및 전략사업추진실 산하 MCS(메타버스 커뮤니케이션 서비스)사업부, SD-WAN사업부를 총괄할 예정이다.

손 부사장은 ""인성정보는 무엇보다 고객의 가치 실현을 최우선시 하는 회사""라며 ""직접 커뮤니케이션을 통한 충분한 이해를 바탕으로 고객 중심의 디지털 전환 동반자가 될 수 있도록 노력하겠다""고 말했다.

원종윤 대표는 신성장동력 발굴에 주력한다. 헬스케어사업추진실을 신설해 원격 헬스케어 및 보건복지, 공공의료 관련 신규 사업 발굴을 본격화할 예정이다. 또 클라우드사업추진단을 구성해 공공클라우드 중심의 인프라·솔루션 사업을 전개할 계획이다.

개편된 조직을 뒷받침할 기술력도 강화한다. 에스넷그룹의 기술 역량을 모은 S2F 센터를 중심으로 신기술 인큐베이션을 전담하는 전략기술팀과 고객 가치 실현에 집중할 고객경험팀을 발족한다. 에스넷그룹 자매사인 굿어스의 SD-WAN사업부를 1월 1일자로 인성정보에 이관, 소프트웨어정의 기술 리더십을 바탕으로 고객 기반을 확대하고 그룹 시너지를 강화할 계획이다.

원종윤 인성정보 대표는 ""이번 조직개편은 인성정보의 다음 30년을 위한 발판을 마련하는 것""이라며 ""헬스케어, 클라우드 등 새로운 성장동력을 발굴하고 신규 사업을 적극 추진해 성장을 견인해 나갈 것""이라고 말했다."
7,삼성SDS,2022.01.09,13:08:01,[사설]직방 채용 꼼수 바꿔야,"국내 12번째 유니콘기업 직방이 구설수에 올랐다. 채용 관련 꼼수로 구직자에게 일자리 희망을 빼앗았다는 논란이 일고 있다. 직방은 최종 면접 전에 연봉협상을 진행하고 이마저도 '핑퐁'을 싫어한다는 이유로 협상에 제대로 임하지 않았다. 합격 통보 등도 통상적 기간을 넘겨 알려주기도 했다. 구인 구직 시장 논리로 볼 때 기업은 적은 돈으로 좋은 인재를 뽑길 원한다. 구직자는 조금이라도 많은 연봉을 받길 원한다. 이해가 서로 충돌하는 구조다.

기업이 인재를 채용하는 방법은 다양하지만 절차는 비슷하다. 다른 유니콘 기업인 우아한형제들(배달의민족)이나 당근마켓 등은 최종 면접 이후에 마지막으로 연봉을 협상한다. 스타트업뿐 아니라 대부분 기업이 관행처럼 시행하는 방식이다. 갑과 을 관계가 명확한 상황에서 혹시 모를 불이익을 구직자가 당하지 않도록 예방하는 목적도 있다.

최근 직방은 상황이 좋지 않다. 매출은 3년째 정체 상태다. 2018년부터 2020년까지 500억원을 넘기지 못하고 있다. 온택트파트너스 중개사 모집으로 공인중개사협회와 갈등을 빚고 있다. 메타버스 협업 툴로 해외시장 개척을 노렸지만 해외법인 설립도 지연되고 있다. 지난해 이슈를 불러일으켰던 삼성SDS 홈IoT 부문 인수계약도 해를 넘겼지만 완료되지 않고 있다.

여러 안 좋은 상황이 겹쳤다. 직방 혼자 힘으로 해결할 수 있는 문제가 아니다. 경영 전략을 짜내야 하고 시장 상황도 변화가 필요하고, 협상도 필요하다. 하지만 채용과 관련된 구설은 직방 스스로도 얼마든지 해결할 수 있는 문제다. 많은 노력이 들지도 않는다. 절차 하나면 바꾸면 된다. 이미 수많은 기업이 따르는 방식이다. 프롭테크 스타트업 맞형인 직방이 엉킨 실타래를 풀어나가기 위해서는 집안 단속부터 해야 한다."
8,삼성SDS,2022.01.10,15:00:01,"알테어, 유은하 한국 지사장 선임","유은하 알테어 한국지사장

알테어가 신임 한국지사장으로 유은하 지사장을 선임했다.

유 지사장은 알테어 창사 이래 아시아태평양 지역 최초 여성 지사장이다. 이화여대 화학과를 졸업하고 정보통신학과 석사 과정을 밟았다. 1994년 삼성SDS 입사 이후 PTC코리아와 앤시스코리아, 다쏘시스템 코리아를 거쳤다.

2017년 한국알테어에 합류해 소프트웨어 사업 전반을 담당했다.

문성수 전 한국지사장은 한국·일본 총괄 부사장으로 승진, 한국과 일본 사업을 담당한다."
9,삼성SDS,2022.01.11,03:03:30,경기도 “AI-빅데이터 교육생 110명 모집”,"4차산업 인재 양성 ‘미래기술학교’
IT 기업과 협업 6개월간 실무교육
경기도는 ‘경기도미래기술학교’에서 미래기술분야 전문인재 110명을 뽑아 양성교육을 진행한다고 10일 밝혔다. 경기도미래기술학교는 인공지능(AI)과 빅데이터 등 4차산업혁명 산업분야에서 필요로 하는 청년들을 양성하는 프로그램이다. 지난해 7월 처음 도입됐다. 경기도 관계자는 “KT와 삼성SDS, 네이버클라우드 등 정보기술(IT) 기업과 지방자치단체가 협업해 훈련생 모집부터 실무 프로젝트 수행, 사후관리까지 맞춤형 프로그램을 운영하는 것이 특징”이라고 말했다.

교육은 직업교육 시설이 부족한 경기 북부의 권역별 캠퍼스에서 운영한다. △인공지능 과정은 고양캠퍼스(25명) △빅데이터 과정은 구리캠퍼스(25명) △클라우드 과정은 의정부캠퍼스(40명)에서 진행한다.

올해 ‘저전력 반도체 설계인력 양성과정’(20명)이 새로 만들어진다. 다음 달 중 공모를 통해 선정될 지역에 대학과 연계해 프로그램을 운영할 방침이다. 저탄소와 IT 분야, 산업체 전문가 등을 강사진으로 구성해 6개월간 실무형 프로젝트를 수행한다. 교육시간은 960시간이다. 교육생 모집과 일정은 경기도 홈페이지 등을 통해 안내받을 수 있다."
