company,date,title,rise
엔씨소프트,2018-01-02,엔씨소프트 새해 유연근무제 도입,0.0
엔씨소프트,2018-01-03,엔씨의 출퇴근 실험 유연근무제 도입,1.0
엔씨소프트,2018-01-04,신년기획 게임 콘텐츠 산업전망,1.0
엔씨소프트,2018-01-05,게임업계 해외진출 신기술 로 성장페달,1.0
엔씨소프트,2018-01-08,한달새 % 떨어진 엔씨소프트 지금이 매수 기회,1.0
엔씨소프트,2018-01-09,네이버 카카오에 시무식 신년사가 없는 이유,1.0
엔씨소프트,2018-01-10,사드 해빙 소비주 약진 코스피 훌쩍 넘을 것,1.0
엔씨소프트,2018-01-11,기자수첩 엔씨의 유연근무제 도입 새해 게임업계의 화두 되길,1.0
엔씨소프트,2018-01-12,전영현 이상봉 등 공학한림원 정회원,0.0
엔씨소프트,2018-01-15,무술년 벽두부터 모바일게임 도그파이트,1.0
엔씨소프트,2018-01-16,게임 위에 모바일게임 올 매출 조시대 열린다,1.0
엔씨소프트,2018-01-17,국내시장 포화 게임 빅 해외시장 개척 공격 행보,1.0
엔씨소프트,2018-01-18,공학한림원 전영현 삼성 사장 등 정회원 명 선정,1.0
엔씨소프트,2018-01-19,공학한림원 신입 회원 선정 홍대식 정충기 전영현 등 명 정회원,1.0
엔씨소프트,2018-01-22,공학한림원 정회원에 전영현 사장,1.0
엔씨소프트,2018-01-23,이병태의 유니콘기업 이야기 왜 유니콘 기업인가,1.0
엔씨소프트,2018-01-24,핀테크 시장 성공 스타트업 살펴보니 인력이 브레인 역할,1.0
엔씨소프트,2018-01-25,게임 빅 대항마로 떠오른 카카오게임즈,1.0
엔씨소프트,2018-01-29,리니지 불법 사설서버 줄고 배틀 불법 프로그램 늘었다,1.0
엔씨소프트,2018-01-30,금융위 엔씨소프트 부사장 검찰 고발,1.0
엔씨소프트,2018-01-31,미공개 정보 이용 엔씨소프트 부사장 고발,1.0
엔씨소프트,2018-02-01,미공개정보 의혹 고발당한 엔씨 부사장,1.0
엔씨소프트,2018-02-02,미공개정보로 주식매도 의혹 배재현 엔씨소프트 부사장 고발,1.0
엔씨소프트,2018-02-05,게임 수출 역군 으로 부상했지만 국내선 여전히 사회악 낙인,0.0
엔씨소프트,2018-02-06,상장사 분기 영업이익 조 달한 듯 실적 안개 걷힌다,1.0
엔씨소프트,2018-02-07,엔씨소프트 부사장 미공개정보 주식거래 혐의,1.0
엔씨소프트,2018-02-08,여명 고진감래 라고 말하고 싶지만,1.0
엔씨소프트,2018-02-09,크런치 모드 시달리는 게임업계 유연근무제 통할까,0.0
엔씨소프트,2018-02-12,연초부터 시들시들해진 게임,1.0
엔씨소프트,2018-02-13,외인 기관 게임 는 팔자 올 넷마블 엔씨등 순매도,1.0
엔씨소프트,2018-02-19,선두다툼 치열한 게임업계 빅 시장이 승부처,1.0
엔씨소프트,2018-02-21,덩치 키웠지만 여전히 폭풍우 속 선장 바꾸는 게임업계,1.0
엔씨소프트,2018-02-22,엔씨문화재단 와 소외계층 아동 교육,1.0
엔씨소프트,2018-02-23,게임위 가상화폐 웹보드 게임 접목 땐 사행화 우려,1.0
엔씨소프트,2018-02-26,효과 에 강세 차산업혁명 펀드 탄력,1.0
엔씨소프트,2018-02-27,자산운용 소프트파워 기업 투자 펀드 판매,1.0
엔씨소프트,2018-02-28,자산운용 소프트파워펀드 출시 일 판매,0.0
엔씨소프트,2018-03-02,엔씨 넷마블 단일게임 매출 조시대,1.0
엔씨소프트,2018-03-05,사설 단일게임 매출 조시대 규제 풀어야 지속가능하다,1.0
엔씨소프트,2018-03-06,올해 온라인 게임 신작 편 흥행몰이 나선다,1.0
엔씨소프트,2018-03-07,문화콘텐츠 제조과학기술 투자 소프트파워펀드 출시,1.0
엔씨소프트,2018-03-08,통신 산업 코딩부터 수학 과학 교육 어린이 창의성 키우는 게임업계,1.0
엔씨소프트,2018-03-09,구글 앱마켓 매출 조원 돌파,1.0
엔씨소프트,2018-03-12,이슈분석 모바일 강에 도전하는 제후국,2.0
엔씨소프트,2018-03-13,리니지 업고 구글플레이 작년 매출 역대 최고치,1.0
엔씨소프트,2018-03-14,엔터 코딩 잘 못해도 기초 탄탄하면 채용,1.0
엔씨소프트,2018-03-15,첨단 회계 로 재무장한 안진회계법인,1.0
엔씨소프트,2018-03-16,이태현 엔터메이트 대표 상반기 신작 대거 출시 흑자전환 자신,1.0
엔씨소프트,2018-03-19,라이언 전무 의 힘 카카오게임즈 국내 게임시장 체인저 되나,1.0
엔씨소프트,2018-03-20,이슈분석 모바일 신한류 양날의 검 확률형아이템,1.0
엔씨소프트,2018-03-21,게임업계 빅 조직개편 김택진 엔씨소프트 대표 맡아 등 신기술 접목 미래성장 동력 확보,1.0
엔씨소프트,2018-03-22,게임업계 빅 조직개편 백영훈 넷마블 부사장 공동대표로 모바일 게임 주축 일본시장 공략 본격화,1.0
엔씨소프트,2018-03-23,스팀 올라탄 게임 잘나가네,0.0
엔씨소프트,2018-03-26,게임업계 빅 조직개편 이정헌 넥슨 부사장 신임대표로 스포츠 사업 키워 새 수익원 발굴 주력,1.0
엔씨소프트,2018-03-27,국내산 게임 년째 진출 제로 빗장 장기화에 업계 골머리,1.0
엔씨소프트,2018-03-28,게임산업 사람이 곧 경쟁력인데 중소형사 제작 개발인력 태부족,1.0
엔씨소프트,2018-03-29,팔아라 오쇼핑 동반 급락,1.0
엔씨소프트,2018-03-30,숨 고르던 대형 게임주 반등할까,1.0
엔씨소프트,2018-04-02,거래소 투자하고 채굴사업 가상화폐에 승부 거는 게임업체,1.0
엔씨소프트,2018-04-03,인터뷰 글로벌부동산서비스사 한국법인 장재훈 신임대표,1.0
엔씨소프트,2018-04-04,조정 받은 외국인이 쓸어담았다,1.0
엔씨소프트,2018-04-05,업계가 직장어린이집에 공들이는 이유는,1.0
엔씨소프트,2018-04-06,년 만에 온 호재인데 년째 막힌 게임 수출길,1.0
엔씨소프트,2018-04-09,풀리지않는 사드 게임 빅 실적 주춤,1.0
엔씨소프트,2018-04-10,게임사 가상화폐 베팅 될까 될까,1.0
엔씨소프트,2018-04-11,톡톡 암호화폐가 맞나 가상통화가 맞나,1.0
엔씨소프트,2018-04-12,한국게임 신규 허가 제로 여전히 꽉 막힌 중국 수출길,1.0
엔씨소프트,2018-04-13,외인증권사 극단적 매도 보고서 코스닥 랠리에 찬물,1.0
엔씨소프트,2018-04-16,제 의 셀트리온 찾자 펀드매니저 미디어 베팅,1.0
엔씨소프트,2018-04-18,미래기업포커스 카카오게임즈 한국게임 새로운 허리가 되다,1.0
엔씨소프트,2018-04-19,다산 칼럼 기업인 제쳐놓고 말로만 만드는 일자리,1.0
엔씨소프트,2018-04-20,포세대 투기의 함정서 벗어나라 재무제표 보기가 투자의 기본 블록체인 모르고 가상화폐 투기 안돼,1.0
엔씨소프트,2018-04-23,현장에서 잊을만하면 목표주가 테러 외국계 증권사는 왜,1.0
엔씨소프트,2018-04-24,서울대 카이스트가 게임 세대 이젠 끼있는 개발자 전성시대,1.0
엔씨소프트,2018-04-25,셧다운 규제 전화위복 모바일로 세계 우뚝,1.0
엔씨소프트,2018-04-26,코스피 또 사상 최고치 뚫었다,1.0
엔씨소프트,2018-04-27,하나금융 엔씨소프트 이익 증가 전망 은행 증권 게임주 주목해야,1.0
엔씨소프트,2018-04-30,이번주 추천주 실적 영향권 진입 씨에스윈드 등 성장 주목,1.0
엔씨소프트,2018-05-03,넥슨 듀랑고 접속 장애 불구 리니지 꺾고 주간사용시간 위,1.0
엔씨소프트,2018-05-08,이번주 주 일 다음주 주 일 이런 탄력근무 봤어,1.0
엔씨소프트,2018-05-09,셀트리온 삼성바이오 신라젠 베일벗은,2.0
엔씨소프트,2018-05-10,등장에 기관 지수 갈아타기 상승장 발목 잡나,0.0
엔씨소프트,2018-05-11,이사람 김환민 게임개발자연대 사무국장 게임업계 열악한 근로환경 바뀌어야,0.0
엔씨소프트,2018-05-14,넷마블 엔씨소프트 앱시장 수익 견인,1.0
엔씨소프트,2018-05-15,필살기로 % 성장 한국게임 올해도 이 악문다,2.0
엔씨소프트,2018-05-16,잘나가는 한국앱 넷마블 작년 앱마켓 매출 위,1.0
엔씨소프트,2018-05-17,시총 조 시장이 인정한 게임사들 현금 조 로 글로벌무대 공략,1.0
엔씨소프트,2018-05-18,문화재 지킴이 소통 도우미 게임업계 특별한 사회공헌 눈길,1.0
엔씨소프트,2018-05-21,제 의 배그 나오려면 실패땐 끝장인 게임업계 생태계 바꿔야,1.0
엔씨소프트,2018-05-23,경제 카페 한국에 다가서는 페북 글로벌 기준 고집 구글,1.0
엔씨소프트,2018-05-24,페이스북 인터넷기업협회 부회장사 승격 신청,1.0
엔씨소프트,2018-05-25,엔씨소프트 새해 유연근무제 도입,1.0
엔씨소프트,2018-05-29,엔씨의 출퇴근 실험 유연근무제 도입,1.0
엔씨소프트,2018-05-30,신년기획 게임 콘텐츠 산업전망,1.0
엔씨소프트,2018-05-31,게임업계 해외진출 신기술 로 성장페달,1.0
