company,date,title,rise
크래프톤,2021-08-10,게임사 다시 재택근무 판교가 텅 비었다,0.0
크래프톤,2021-08-11,앱으로 빅히트 주식 좀 샀어요 스타트업 장외투자 배 늘었다,0.0
크래프톤,2021-08-12,최대어 카카오게임즈 제 의 바이오팜 될까,2.0
크래프톤,2021-08-13,이통 사 클라우드 게임 불 지피기 게임업체 아직 시기상조 시큰둥,4.0
크래프톤,2021-08-17,에픽게임즈 애플 소송전 국내 게임사도 영향 불가피,4.0
크래프톤,2021-08-18,상장 호는 카카오게임즈 김범수 의장의 선택 왜,4.0
크래프톤,2021-08-19,카카오게임즈 공모자금으로 게임사 나설 것,4.0
크래프톤,2021-08-20,시그널 청약 땐 최소 수익률 % 카카오게임즈 적정주가 만 원,2.0
크래프톤,2021-08-23,코로나 재확산에 비대면 바이오 그린뉴딜 벤처투자 뭉칫돈,2.0
크래프톤,2021-08-24,종합 콘텐츠기업 꿈꾸는 게임사 엔터업계로 영역확장 가속,0.0
크래프톤,2021-08-25,덩치 키운 게임사들 사회적 가치 창출 힘보탠다,2.0
크래프톤,2021-08-26,하반기 게임열전 카카오게임즈 엘리온 오딘 양 날개 달고 비상 예고,4.0
크래프톤,2021-08-27,억 블루오션 게임 나마스테,4.0
크래프톤,2021-08-30,차 코로나 쇼크 언택트 게임산업 또한번 점프할까,2.0
크래프톤,2021-09-01,작곡가 용감한형제 패러디해 즉흥적으로 지어 쉽고 위트 있는 급 감성 어필,4.0
크래프톤,2021-08-31,빅데이터로 본 재테크 대어 카카오게임즈가 온다 투자자 게임 물색,2.0
크래프톤,2021-09-02,단독 중동 홀린 영상앱 아자르 해외서 천억 수혈한다,0.0
크래프톤,2021-09-03,장경욱 플레이팅 대표 찾아가는 구내식당으로 기업 입맛 사로잡았죠,4.0
크래프톤,2021-09-06,빅히트 에 상장 앞둔 빅히트 몸값만 조 이상 열풍 넘어 광풍,0.0
크래프톤,2021-09-07,게임을 드라마로 드라마를 게임으로,0.0
크래프톤,2021-09-08,청약 광풍 카카오게임즈 향후 게임 경쟁력 성장성 있나,4.0
크래프톤,2021-09-09,조 뭉칫돈 빅히트 카뱅 크래프톤 노린다,2.0
크래프톤,2021-09-10,개미들 장외주식 투자에도 뜨거운 관심,0.0
크래프톤,2021-09-13,싸이월드 베끼다 글로벌 공룡 으로 텐센트 신사옥 가보니,2.0
크래프톤,2021-09-14,자오젠난 텐센트 총경리 클라우드 투자 확대 두번째 가용영역 준비,4.0
크래프톤,2021-09-15,대박 카카오게임즈 하반기엔 신작 흥행몰이,4.0
크래프톤,2021-09-16,유니버스 스토리 블레이드앤소울 엘리온이 온다,2.0
크래프톤,2021-09-17,장외공룡 크래프톤 시총 조 넷마블 업고 글로벌 공략,2.0
크래프톤,2021-09-23,대박 카카오게임즈 종합게임사 점프,2.0
크래프톤,2021-09-24,증시 입성 카카오게임즈 공모가 대비 % 고공행진,2.0
크래프톤,2021-09-27,일주일새 주가 배 공모 이어 스팩으로 돈 몰리나,2.0
크래프톤,2021-09-28,하반기 콘솔대전 막 오른다 동시 출사표,2.0
크래프톤,2021-09-29,공모주 높은 경쟁률에 개미 스팩 눈돌릴까,2.0
크래프톤,2021-10-01,외부활동 줄어 게임 이용시간 조이시티 네오위즈 미스터블루 관심,2.0
크래프톤,2021-10-05,글로벌기업도 대규모 는 결국 오너 결단,0.0
